train_loss,epoch,step,test_loss
0.01641102507710457,0,1874,
0.010180836543440819,1,3749,
0.009357763454318047,2,5624,
0.008214197121560574,3,7499,
0.007632717955857515,4,9374,
0.006337503436952829,5,11249,
0.0052700163796544075,6,13124,
0.004902063403278589,7,14999,
0.004939228296279907,8,16874,
0.004703805316239595,9,18749,
0.004455015528947115,10,20624,
0.004171053413301706,11,22499,
0.004150461871176958,12,24374,
0.004010339733213186,13,26249,
0.0042428793385624886,14,28124,
0.0038930897135287523,15,29999,
0.004233488347381353,16,31874,
0.0040093641728162766,17,33749,
0.003826200496405363,18,35624,
0.0040204147808253765,19,37499,
,19,37500,0.16098187863826752
